datum;nachname;anzahl;jahr
2012-12-31;Schweyer;7;2012
2016-12-31;Hellstern;19;2016
2015-12-31;Feigenwinter;18;2015
2016-12-31;Werner;57;2016
2017-12-31;Maquaire;4;2017
2018-12-31;Dissler;8;2018
2011-12-31;Cairone;14;2011
2014-12-31;Lachenmeier;33;2014
2014-12-31;van Dooren;4;2014
2013-12-31;Provenzano;16;2013
2015-12-31;Tereh;8;2015
2011-12-31;Kurupinar;6;2011
2022-12-31;Cretu;4;2022
2012-12-31;Sinani;26;2012
2021-12-31;Ujak;4;2021
2020-12-31;Dizdarevic;7;2020
2011-12-31;Giss;5;2011
2019-12-31;Maalo;4;2019
2021-12-31;Scharf;12;2021
2011-12-31;Bierl;4;2011
2015-12-31;Hernández;4;2015
2015-12-31;Hernandez;33;2015
2021-12-31;Nikoliqi;13;2021
2014-12-31;Toklu;6;2014
2016-12-31;Pun;6;2016
2017-12-31;Sitton;7;2017
2015-12-31;Frederix;4;2015
2021-12-31;Neumann;19;2021
2017-12-31;Hamzic;4;2017
2014-12-31;Jequier;4;2014
2017-12-31;Prinzo;4;2017
2017-12-31;Radu;10;2017
2017-12-31;Cereijo;4;2017
2022-12-31;Stohrer;8;2022
2016-12-31;Cardone;9;2016
2011-12-31;Norström;5;2011
2019-12-31;Humanes;5;2019
2011-12-31;Agustinovic;4;2011
2019-12-31;Hügli;39;2019
2015-12-31;Gückel;4;2015
2021-12-31;Cimendag;13;2021
2020-12-31;Schlenker;13;2020
2019-12-31;Blauenstein;11;2019
2016-12-31;Küpfer;10;2016
2022-12-31;Gutiérrez;5;2022
2012-12-31;Weidmann;26;2012
2013-12-31;Cali;10;2013
2014-12-31;Brodmann;56;2014
2020-12-31;Akdemir;5;2020
2017-12-31;Hüppi;5;2017
2020-12-31;Schwitter;13;2020
2011-12-31;Olgun;4;2011
2015-12-31;Rasetti;4;2015
2011-12-31;Schröder;36;2011
2017-12-31;Graff;4;2017
2013-12-31;Giese;13;2013
2012-12-31;Gnehm;10;2012
2014-12-31;Gerster;27;2014
2011-12-31;Hebert;4;2011
2018-12-31;Püschel;4;2018
2016-12-31;Salzgeber;6;2016
2017-12-31;de Quervain;5;2017
2015-12-31;Gaye;6;2015
2022-12-31;Antonio;7;2022
2021-12-31;Kameri;9;2021
2016-12-31;Frick;24;2016
2012-12-31;Burgy;4;2012
2014-12-31;Ochse;4;2014
2013-12-31;Handschin;73;2013
2019-12-31;Dabetic;5;2019
2014-12-31;Delay;9;2014
2013-12-31;Boll;5;2013
2019-12-31;Biedert;12;2019
2017-12-31;Kym;16;2017
2014-12-31;Lüken;4;2014
2011-12-31;Ulli;10;2011
2015-12-31;Meyer;610;2015
2016-12-31;Lachmann;5;2016
2019-12-31;Naumann;6;2019
2013-12-31;Patil;13;2013
2022-12-31;Lobsiger;10;2022
2019-12-31;Leonte;5;2019
2017-12-31;Mac Cabe;4;2017
2022-12-31;Comak;5;2022
2015-12-31;Lienhard;34;2015
2012-12-31;Kus;8;2012
2012-12-31;Pape;4;2012
2017-12-31;Henn;6;2017
2018-12-31;Stürchler;20;2018
2019-12-31;Ferri;10;2019
2013-12-31;Schaffter;8;2013
2013-12-31;Standke;6;2013
2013-12-31;Käppeli;17;2013
2011-12-31;Ferrara;25;2011
2019-12-31;Mansueto;6;2019
2011-12-31;Stojakovic;7;2011
2017-12-31;Riede;4;2017
2020-12-31;Jagsch;4;2020
2015-12-31;Güthe;4;2015
2017-12-31;Hinz;4;2017
2013-12-31;Bunjaku;14;2013
2019-12-31;Berglas;9;2019
2016-12-31;übrige;47919;2016
2019-12-31;Chaillot;4;2019
2011-12-31;Jaeger;18;2011
2012-12-31;Dolenzky;4;2012
2021-12-31;Sentürk;26;2021
2011-12-31;MacDonald;7;2011
2014-12-31;van Schwamen;4;2014
2022-12-31;Spaar;5;2022
2013-12-31;Matthias;5;2013
2017-12-31;Lys;4;2017
2012-12-31;Löffel;20;2012
2017-12-31;Thangarasa;4;2017
2020-12-31;Ismani;7;2020
2022-12-31;Diouf;14;2022
2011-12-31;Grünwald;5;2011
2014-12-31;Küttel;10;2014
2015-12-31;Schöll;4;2015
2015-12-31;Scholl;9;2015
2014-12-31;Mospak;4;2014
2021-12-31;Kesete;10;2021
2020-12-31;Lazarov;4;2020
2020-12-31;Bolt;5;2020
2020-12-31;Moqbel;7;2020
2021-12-31;Kren;7;2021
2016-12-31;Mittal;4;2016
2014-12-31;Munoz;25;2014
2011-12-31;Jesse;8;2011
2011-12-31;Kolenda;4;2011
2011-12-31;Haag;26;2011
2022-12-31;Boller;7;2022
2022-12-31;Wichmann;5;2022
2017-12-31;Bidwell;5;2017
2012-12-31;Ziberi;65;2012
2020-12-31;Baumel;7;2020
2020-12-31;Pfäffli;15;2020
2012-12-31;Leandri;5;2012
2012-12-31;Kündig;35;2012
2015-12-31;Resta;4;2015
2014-12-31;Kunert;4;2014
2017-12-31;Dischner;5;2017
2013-12-31;Ersoy;6;2013
2017-12-31;Oehry;4;2017
2015-12-31;Pagano;14;2015
2014-12-31;Perovic;7;2014
2016-12-31;Knupfer;8;2016
2013-12-31;Liang;4;2013
2019-12-31;Zinsstag;11;2019
2022-12-31;Gremmelmaier;6;2022
2017-12-31;Erdem;17;2017
2019-12-31;Seminara;12;2019
2021-12-31;Bill;16;2021
2016-12-31;Zappatore;4;2016
2014-12-31;Lemblé;6;2014
2020-12-31;Lauper;26;2020
2013-12-31;Vicari;4;2013
2013-12-31;Ceccarelli;6;2013
2021-12-31;Telci;6;2021
2012-12-31;Zajic;10;2012
2016-12-31;Mrvelj;5;2016
2012-12-31;Regli;13;2012
2013-12-31;Komla;4;2013
2011-12-31;Cao;7;2011
2017-12-31;Shaqiri;25;2017
2015-12-31;Turhal;4;2015
2012-12-31;Cukeska;5;2012
2021-12-31;Di Napoli;4;2021
2022-12-31;Aeschlimann;22;2022
2014-12-31;Schnydrig;4;2014
2019-12-31;Mordasini;4;2019
2018-12-31;Lenz;25;2018
2019-12-31;Aluisi;4;2019
2011-12-31;Maisano;4;2011
2016-12-31;Sadrija;7;2016
2018-12-31;Geister;7;2018
2020-12-31;Kiefer;53;2020
2021-12-31;Mc Daid;7;2021
2017-12-31;Hefel;5;2017
2019-12-31;Amipa;5;2019
2012-12-31;Völker;8;2012
2016-12-31;Zenhäusern;20;2016
2013-12-31;Szabo;36;2013
2011-12-31;Mermoud;7;2011
2014-12-31;Carmona;6;2014
2021-12-31;Schwab;61;2021
2014-12-31;Krieger;13;2014
2011-12-31;Gerig;23;2011
2012-12-31;Salvi;4;2012
2020-12-31;Joyce;8;2020
2012-12-31;Iscen;13;2012
2018-12-31;Langloh;11;2018
2013-12-31;Özsönmez;7;2013
2022-12-31;Barmettler;13;2022
2019-12-31;Kleine;6;2019
2019-12-31;Rombach;4;2019
2016-12-31;Stehlin;19;2016
2016-12-31;Dervishaj;4;2016
2017-12-31;Jörg;23;2017
2015-12-31;Ferhatbegovic;7;2015
2013-12-31;Betz;20;2013
2022-12-31;Herz;9;2022
2020-12-31;Jegerlehner;5;2020
2019-12-31;Suppa;8;2019
2013-12-31;Oliva;10;2013
2015-12-31;Akhtar;11;2015
2013-12-31;Notegen;4;2013
2016-12-31;de Wilde;4;2016
2013-12-31;Bisicchia;4;2013
2013-12-31;Meyle;4;2013
2011-12-31;Kiely;5;2011
2017-12-31;Hänni;43;2017
2022-12-31;Santo;14;2022
2018-12-31;Papac;4;2018
2013-12-31;Gögen;4;2013
2021-12-31;Bury;4;2021
2022-12-31;Khalimonchuk;5;2022
2019-12-31;Zatta;6;2019
2014-12-31;Erzer;16;2014
2014-12-31;Shah;22;2014
2014-12-31;Casty;7;2014
2018-12-31;Gilgin;9;2018
2020-12-31;Speck;11;2020
2015-12-31;Selvayoganathan;4;2015
2015-12-31;Barros;14;2015
2012-12-31;Kama;10;2012
2021-12-31;Schuster;29;2021
2018-12-31;Ermatinger;4;2018
2011-12-31;Strecker;5;2011
2021-12-31;Azu;5;2021
2018-12-31;Begley;4;2018
2018-12-31;Kizhakkeveetil;5;2018
2022-12-31;Kumba;5;2022
2012-12-31;Masche;5;2012
2019-12-31;Giller;6;2019
2015-12-31;Mathez;5;2015
2016-12-31;Pavlovic;42;2016
2019-12-31;Alemdar;10;2019
2015-12-31;Karimani;6;2015
2022-12-31;Boser;5;2022
2016-12-31;Tejero;6;2016
2022-12-31;Bignasca;4;2022
2012-12-31;Wohlwender;5;2012
2017-12-31;Ceran;25;2017
2022-12-31;Goppelsroeder;8;2022
2016-12-31;Frei;286;2016
2012-12-31;Morgan;11;2012
2020-12-31;Nickler;7;2020
2015-12-31;Tabakovic;4;2015
2017-12-31;Smits;4;2017
2018-12-31;Zaborsky;6;2018
2014-12-31;Boner;8;2014
2012-12-31;Pai;7;2012
2016-12-31;Bezzola;14;2016
2021-12-31;Speciale;5;2021
2018-12-31;Gassler;14;2018
2015-12-31;Dörflinger;35;2015
2018-12-31;Braun;134;2018
2014-12-31;Klumpp;16;2014
2020-12-31;Bocek;5;2020
2022-12-31;Nagalingam;5;2022
2016-12-31;Plieninger;4;2016
2017-12-31;Hakim;6;2017
2018-12-31;Luz;5;2018
2011-12-31;Gröflin;21;2011
2012-12-31;Blunier;7;2012
2012-12-31;Martins;72;2012
2013-12-31;Laube;21;2013
2016-12-31;Bahtiri;4;2016
2014-12-31;Kiarie;4;2014
2020-12-31;Surber;6;2020
2013-12-31;Novoa;5;2013
2018-12-31;Krnjic;7;2018
2022-12-31;Inan;8;2022
2016-12-31;Knöll;11;2016
2014-12-31;Pellegrino;12;2014
2016-12-31;Puric;4;2016
2012-12-31;dos Reis;9;2012
2013-12-31;Mai;8;2013
2018-12-31;Fiori;4;2018
2018-12-31;Okta;4;2018
2013-12-31;Ramin;4;2013
2021-12-31;Brenneisen;28;2021
2022-12-31;Burtscher;25;2022
2022-12-31;Colina;5;2022
2011-12-31;Iyidogan;37;2011
2022-12-31;Grässli;5;2022
2016-12-31;Diserens;4;2016
2019-12-31;Todaro;12;2019
2018-12-31;Fuhr;9;2018
2011-12-31;Di Giacomo;9;2011
2015-12-31;Dodaj;12;2015
2011-12-31;Radojkovic;7;2011
2021-12-31;Burkart;22;2021
2019-12-31;Piatti;5;2019
2022-12-31;Okpala;6;2022
2020-12-31;Di Leonardo;5;2020
2015-12-31;Silbiger;7;2015
2012-12-31;Bonina;15;2012
2019-12-31;Völker;5;2019
2011-12-31;Monnier;10;2011
2018-12-31;Hauert;7;2018
2020-12-31;Hilbe;6;2020
2019-12-31;Kohler;154;2019
2017-12-31;Halbeisen;18;2017
2015-12-31;Bay;8;2015
2019-12-31;Dinkel;25;2019
2012-12-31;Herren;30;2012
2016-12-31;Da Silva;166;2016
2016-12-31;Borner;33;2016
2013-12-31;Suliman;4;2013
2022-12-31;Fontaine;7;2022
2018-12-31;Yelman;4;2018
2022-12-31;Mojsic;4;2022
2011-12-31;Kihli;5;2011
2022-12-31;Aytekin;5;2022
2015-12-31;Shashivari;8;2015
2022-12-31;Santoli;5;2022
2016-12-31;Costeggioli;5;2016
2016-12-31;Laissue;5;2016
2015-12-31;Perna;11;2015
2020-12-31;Turhan;4;2020
2019-12-31;Carbotti;4;2019
2014-12-31;Ress;4;2014
2015-12-31;Ochsner;30;2015
2017-12-31;Klicinovic;4;2017
2014-12-31;Abdulahi;11;2014
2013-12-31;Nater;5;2013
2011-12-31;Saccavino;6;2011
2013-12-31;Wälchli;33;2013
2011-12-31;Kukic;10;2011
2011-12-31;Zahnd;23;2011
2015-12-31;Christeller;4;2015
2015-12-31;Scheiwiller;5;2015
2011-12-31;Kizhakkeveetil;5;2011
2017-12-31;Hainmüller;4;2017
2016-12-31;Winiker;9;2016
2013-12-31;Häuptli;14;2013
2014-12-31;Bury;4;2014
2012-12-31;Tastan;5;2012
2015-12-31;Rees;6;2015
2022-12-31;Rasetti;5;2022
2020-12-31;Useinoska;4;2020
2011-12-31;Gaidatzis;4;2011
2020-12-31;Aeschbacher;14;2020
2011-12-31;Jacoby;4;2011
2016-12-31;Pillonel;12;2016
2013-12-31;Kuonen;11;2013
2013-12-31;Rüst;9;2013
2019-12-31;Gärtner;16;2019
2013-12-31;Hauenstein;13;2013
2012-12-31;Ciliberto;10;2012
2020-12-31;Schaffter;11;2020
2013-12-31;Catania;10;2013
2015-12-31;Karpuzo;4;2015
2020-12-31;Konrad;13;2020
2021-12-31;Romagnoli;7;2021
2014-12-31;Achermann;40;2014
2014-12-31;Veronese;4;2014
2015-12-31;Andersson;6;2015
2020-12-31;Zavahir;6;2020
2022-12-31;Schläppi;4;2022
2013-12-31;Gonçalves;26;2013
2020-12-31;Subotic;8;2020
2020-12-31;Masso;8;2020
2015-12-31;Andres;29;2015
2011-12-31;Cicak;7;2011
2016-12-31;Anaman;4;2016
2017-12-31;Zitnan;4;2017
2012-12-31;Steinegger;17;2012
2012-12-31;Gay;5;2012
2021-12-31;Haniotis;4;2021
2017-12-31;Emërllahu;5;2017
2014-12-31;Emruli;4;2014
2012-12-31;Otte;4;2012
2020-12-31;Schmid;574;2020
2021-12-31;Oehen;9;2021
2015-12-31;Deschamps;5;2015
2018-12-31;Jesse;8;2018
2011-12-31;Rigassi;4;2011
2020-12-31;Bürgi;63;2020
2019-12-31;Möschli;6;2019
2012-12-31;Dimba;5;2012
2015-12-31;Beerli;22;2015
2016-12-31;Dybus;4;2016
2013-12-31;Nidecker;14;2013
2022-12-31;Grichting;7;2022
2018-12-31;Tompa;5;2018
2022-12-31;Lingg;5;2022
2021-12-31;Qin;7;2021
2014-12-31;Zurfluh;21;2014
2014-12-31;Steel;4;2014
2013-12-31;Fuso;4;2013
2012-12-31;Strebel;56;2012
2022-12-31;Chiarello;4;2022
2018-12-31;Strauss;9;2018
2019-12-31;Petrella;4;2019
2013-12-31;Chang;7;2013
2011-12-31;Zeiner;4;2011
2015-12-31;Badeen;7;2015
2017-12-31;Pekerman;23;2017
2020-12-31;Infanger;4;2020
2011-12-31;Bridge;7;2011
2020-12-31;Baklaci;7;2020
2017-12-31;Bleuler;6;2017
2019-12-31;De Pretto;5;2019
2011-12-31;Lamelas;4;2011
2011-12-31;Zuberi;10;2011
2016-12-31;Kläui;5;2016
2020-12-31;Türk;26;2020
2018-12-31;Reusser;20;2018
2016-12-31;Geisinger;4;2016
2022-12-31;Rehman;6;2022
2015-12-31;Kniss;4;2015
2018-12-31;Ramsperger;5;2018
2022-12-31;Contreras;7;2022
2020-12-31;Vigneswaran;8;2020
2020-12-31;Nitzer;5;2020
2013-12-31;Apollonio;4;2013
2011-12-31;Vix;4;2011
2015-12-31;Nissle;5;2015
2019-12-31;Madrid;4;2019
2011-12-31;Milinkovic;5;2011
2016-12-31;Ruf;61;2016
2020-12-31;Cesur;4;2020
2011-12-31;Langloh;13;2011
2022-12-31;Dörflinger;28;2022
2016-12-31;Tellenbach;6;2016
2019-12-31;Cupic;8;2019
2013-12-31;Chevalley;4;2013
2014-12-31;Glanzmann;66;2014
2021-12-31;Casto;8;2021
2013-12-31;Baalbaki;11;2013
2018-12-31;Baldinger;7;2018
2022-12-31;Tuncer;4;2022
2017-12-31;Berar;4;2017
2021-12-31;Padron;4;2021
2015-12-31;Kunduru;7;2015
2017-12-31;Kaynak;4;2017
2011-12-31;Nalliah;4;2011
2012-12-31;Ucur;7;2012
2014-12-31;Rothen;29;2014
2021-12-31;Erdal;4;2021
2022-12-31;Mantel;11;2022
2015-12-31;Schetty;6;2015
2017-12-31;Husseini;4;2017
2019-12-31;Tröndle;8;2019
2012-12-31;Esposito;26;2012
2012-12-31;Haklaj;6;2012
2016-12-31;Straputicari;4;2016
2015-12-31;Barmettler;15;2015
2019-12-31;Murmann;4;2019
2020-12-31;Pupo;6;2020
2011-12-31;Abächerli;9;2011
2014-12-31;Hamburger;4;2014
2022-12-31;Schelling;6;2022
2020-12-31;Renk;7;2020
2019-12-31;Petricevic;4;2019
2022-12-31;Croset;4;2022
2017-12-31;Borrmann;6;2017
2021-12-31;Boeglin;5;2021
2015-12-31;Sieber;65;2015
2015-12-31;Guy;6;2015
2016-12-31;Kadrijaj;6;2016
2015-12-31;Simone;13;2015
2013-12-31;Lourenco;6;2013
2013-12-31;Lauria;4;2013
2021-12-31;Petkovic;13;2021
2014-12-31;Ackle;4;2014
2014-12-31;Scalisi;5;2014
2017-12-31;Rem;6;2017
2016-12-31;Jovanovic;113;2016
2012-12-31;Carino;6;2012
2012-12-31;Duschletta;4;2012
2012-12-31;Bartos;4;2012
2020-12-31;Sejdijaj;8;2020
2019-12-31;Blumenthal;6;2019
2021-12-31;Röthlisberger;66;2021
2022-12-31;Müller;1253;2022
2022-12-31;Muller;18;2022
2019-12-31;Alijoski;5;2019
2022-12-31;Karatas;30;2022
2020-12-31;Alkun;4;2020
2020-12-31;Gonçalves;27;2020
2022-12-31;Berndt;4;2022
2019-12-31;Lojak;4;2019
2012-12-31;Gadola;4;2012
2018-12-31;Avziu;5;2018
2016-12-31;Speiser;20;2016
2016-12-31;Zambrano;6;2016
2011-12-31;Xhiha;4;2011
2015-12-31;Boser;7;2015
2020-12-31;Ismaili;96;2020
2011-12-31;Reimer;10;2011
2012-12-31;Guldimann;22;2012
2018-12-31;Pinarello;4;2018
2017-12-31;Schallberger;4;2017
2016-12-31;Kaiser;146;2016
2011-12-31;Luder;33;2011
2017-12-31;Cleek;5;2017
2011-12-31;Ifenkwe;5;2011
2016-12-31;Alt;24;2016
2020-12-31;Salem;7;2020
2019-12-31;Saracista;9;2019
2014-12-31;Mammola;6;2014
2013-12-31;Bashir;5;2013
2018-12-31;Caggia;4;2018
2019-12-31;Weigt;4;2019
2020-12-31;Lucas;21;2020
2014-12-31;Knopp;10;2014
2012-12-31;Bidwell;5;2012
2022-12-31;Holländer;4;2022
2022-12-31;Serra;21;2022
2014-12-31;Gavric;7;2014
2020-12-31;Küenzi;4;2020
2016-12-31;Schaulin;8;2016
2016-12-31;Acklin;10;2016
2016-12-31;Munafo;4;2016
2019-12-31;Zanier;5;2019
2015-12-31;Locher;85;2015
2011-12-31;Knobel;4;2011
2015-12-31;Satar;4;2015
2017-12-31;Moshfegh;5;2017
2011-12-31;Spengeler;6;2011
2021-12-31;Smiljanic;5;2021
2016-12-31;Harnisch;4;2016
2011-12-31;Theurillat;14;2011
2019-12-31;Figueroa;6;2019
2022-12-31;Hebeisen;14;2022
2016-12-31;Campinari;22;2016
2015-12-31;Würthner;5;2015
2015-12-31;Stehle;5;2015
2015-12-31;Damar;4;2015
2019-12-31;Marinkovic;21;2019
2015-12-31;Oertig;10;2015
2019-12-31;Gecit;6;2019
2017-12-31;Denz;7;2017
2014-12-31;Pfenninger;36;2014
2014-12-31;Kontic;4;2014
2017-12-31;Tapan;6;2017
2021-12-31;Vucetic;4;2021
2015-12-31;Atci;4;2015
2022-12-31;Kocakol;6;2022
2012-12-31;Perrig;15;2012
2021-12-31;Shimada;7;2021
2020-12-31;Pfändler;8;2020
2020-12-31;Zülli;4;2020
2018-12-31;Kanjuparambil;4;2018
2020-12-31;Syed;17;2020
2014-12-31;Lawson;7;2014
2021-12-31;Dürrwang;4;2021
2019-12-31;Flum;5;2019
2017-12-31;Kepper;4;2017
2021-12-31;Good;15;2021
2022-12-31;Videnovic;6;2022
2015-12-31;Craddock;5;2015
2012-12-31;Alii;4;2012
2012-12-31;Memic;4;2012
2014-12-31;Canaj;6;2014
2011-12-31;Uhl;6;2011
2015-12-31;Bölsterli;4;2015
2015-12-31;Mertz;4;2015
2014-12-31;Milani;6;2014
2012-12-31;Schmitz;21;2012
2013-12-31;Kostu;5;2013
2011-12-31;Bingler;4;2011
2017-12-31;Lemoine;4;2017
2012-12-31;Wellinger;8;2012
2011-12-31;Bernardasci;4;2011
2020-12-31;Yüzüak;5;2020
2020-12-31;Rütsche;5;2020
2020-12-31;Bourson;5;2020
2022-12-31;Bektas;26;2022
2017-12-31;Schumacher;96;2017
2020-12-31;Joliat;4;2020
2015-12-31;Härz;6;2015
2015-12-31;Shambicco;5;2015
2022-12-31;Cvijanovic;4;2022
2016-12-31;Maslac;12;2016
2012-12-31;Kumar;45;2012
2019-12-31;Pisano;5;2019
2011-12-31;Imeraj;4;2011
2016-12-31;D'Intino;5;2016
2017-12-31;Quirk;5;2017
2011-12-31;Wölfli;6;2011
2021-12-31;Sejdii;5;2021
2018-12-31;Vargas;16;2018
2014-12-31;Koç;30;2014
2012-12-31;Fessler;6;2012
2020-12-31;Norton;5;2020
2021-12-31;Rammaert;4;2021
2019-12-31;Crimi;9;2019
2021-12-31;Mahamed;6;2021
2013-12-31;Ljutfiji;17;2013
2020-12-31;Cantaluppi;8;2020
2021-12-31;Cueni;36;2021
2015-12-31;Tirelli;4;2015
2020-12-31;Roschi;8;2020
2020-12-31;Hillenbrand;5;2020
2015-12-31;Fisk;4;2015
2020-12-31;Schöpfer;44;2020
2020-12-31;Köberle;5;2020
2015-12-31;Schindler;34;2015
2017-12-31;Cortellini;8;2017
2016-12-31;Nigon;4;2016
2019-12-31;Conzetti;4;2019
2022-12-31;Burunlu;17;2022
2015-12-31;Srikhongkerd;4;2015
2014-12-31;Haniotis;4;2014
2012-12-31;Burgener;17;2012
2013-12-31;Bärlocher;14;2013
2017-12-31;Klee;7;2017
2022-12-31;Dzikowski;4;2022
2016-12-31;Vaira;5;2016
2015-12-31;Würsch;23;2015
2018-12-31;Huter;4;2018
2012-12-31;Yap;4;2012
2019-12-31;Kastrati;31;2019
2015-12-31;Capol;4;2015
2014-12-31;Novosel;6;2014
2013-12-31;Ferraz;5;2013
2022-12-31;Güllü;7;2022
2014-12-31;Murseli;5;2014
2014-12-31;Miotto;9;2014
2018-12-31;Caronna;4;2018
2018-12-31;Marcus;4;2018
2016-12-31;Murri;6;2016
2020-12-31;Rotzler;18;2020
2011-12-31;Loparic;6;2011
2011-12-31;Gilg;6;2011
2011-12-31;Mansour;4;2011
2013-12-31;Linsi;6;2013
2015-12-31;Agostinis;4;2015
2014-12-31;Hauser;115;2014
2022-12-31;Asik;5;2022
2012-12-31;Landmann;4;2012
2018-12-31;Spengeler;5;2018
2019-12-31;Danell;4;2019
2022-12-31;Pavic;6;2022
2020-12-31;Jungi;7;2020
2022-12-31;D'Agostino;9;2022
2016-12-31;Omlin;26;2016
2016-12-31;Joos;32;2016
2011-12-31;Dannacher;8;2011
2012-12-31;Flum;7;2012
2017-12-31;Berman;4;2017
2014-12-31;Good;14;2014
2021-12-31;Siketanc;4;2021
2019-12-31;Kleinert;5;2019
2021-12-31;Fringeli;23;2021
2022-12-31;Giannini;5;2022
2014-12-31;Gärtner;16;2014
2020-12-31;Kasa;19;2020
2016-12-31;Cetin;30;2016
2019-12-31;Aydin;48;2019
2020-12-31;Grimolizzi;10;2020
2021-12-31;Emruli;5;2021
2014-12-31;Sapsaglam;5;2014
2014-12-31;Immler;4;2014
2017-12-31;Elisseeff;5;2017
2016-12-31;Mathis;38;2016
2020-12-31;Henggi;9;2020
2022-12-31;Schori;16;2022
2020-12-31;Gerasimov;5;2020
2021-12-31;Speer;4;2021
2014-12-31;Mathivannan;4;2014
2018-12-31;Robischon;6;2018
2020-12-31;Falk;9;2020
2016-12-31;Almonte;7;2016
2015-12-31;Indermühle;7;2015
2011-12-31;Bravi;6;2011
2017-12-31;Roulet;9;2017
2011-12-31;Blome;4;2011
2014-12-31;von Däniken;4;2014
2017-12-31;Sacco;6;2017
2019-12-31;Obermeyer;4;2019
2013-12-31;Stabellini;4;2013
2021-12-31;Pajaziti;61;2021
2022-12-31;Rose;10;2022
2019-12-31;Otto;8;2019
2013-12-31;Osaj;4;2013
2015-12-31;Véron;10;2015
2019-12-31;Orth;10;2019
2019-12-31;Meha;8;2019
2014-12-31;Milosavljevic;27;2014
2015-12-31;Phobphuak;4;2015
2015-12-31;Filipowicz;5;2015
2016-12-31;Tornes;4;2016
2011-12-31;Miesch;16;2011
2022-12-31;Gerlach;10;2022
2014-12-31;Strässler;4;2014
2012-12-31;Oetiker;5;2012
2015-12-31;Barisic;5;2015
2013-12-31;Rochat;5;2013
2021-12-31;Tagliavini;4;2021
2011-12-31;Friederich;9;2011
2011-12-31;Ben Ahmed;4;2011
2018-12-31;Alioth;7;2018
2022-12-31;Can;59;2022
2020-12-31;Blanckarts;8;2020
2016-12-31;Wandeler;5;2016
2015-12-31;Janach;4;2015
2013-12-31;Zmilacher;5;2013
2011-12-31;Rodoni;13;2011
2011-12-31;Bekteshi;17;2011
2013-12-31;Canosa;19;2013
2022-12-31;Broggi;5;2022
2019-12-31;Dammann;6;2019
2022-12-31;Marroccoli;8;2022
2022-12-31;Wasserfallen;7;2022
2012-12-31;Staufer;5;2012
2020-12-31;Laube;20;2020
2012-12-31;Bussinger;8;2012
2014-12-31;Brinkmann;5;2014
2012-12-31;Dingeldein;6;2012
2022-12-31;Resler;4;2022
2013-12-31;Craig;4;2013
2019-12-31;Malikov;8;2019
2012-12-31;Lecoq;4;2012
2014-12-31;Monney;7;2014
2017-12-31;Romeo;7;2017
